TFF Match ID,Tarih,Organizasyon,Hakem ID,Hakem,AR1 ID,AR1,AR2 ID,AR2,Dort ID,Dorduncu Hakem,Stad ID,Stad,Ev,Ev ID,Deplasman,Deplasman ID,Ev skor,Deplasman skor
"5,2006-08-06 20:00:00,Turkcell Süper Lig (Profesyonel Takım),19493,HÜSEYİN GÖÇEK,19740,SERKAN OK,19380,CEMAL BİNGÜL,18765,M.CEMİL ŞENSÖZ,69,KAMİL OCAK,116,GAZİANTEPSPOR,81,DENİZLİSPOR,1,1"
"10,2006-08-06 20:00:00,Turkcell Süper Lig (Profesyonel Takım),17907,ÇETİN SARIGÜL,18914,SERKAN GENÇERLER,19341,ALİ SAYGIN ÖGEL,17913,HAKAN ÖZKAN,133,KONYA ATATÜRK,3600,KONYASPOR,3594,SAKARYASPOR A.Ş.,1,1"
"6,2006-08-06 20:00:00,Turkcell Süper Lig (Profesyonel Takım),18699,BÜLENT YILDIRIM,19193,ERHAN SÖNMEZ,17902,ÖZGÜR ÇETİNER,19048,ÖZGÜÇ TÜRKALP,137,MANİSA 19 MAYIS,110,VESTEL MANİSASPOR,3590,BEŞİKTAŞ A.Ş.,1,0"
"7,2006-08-06 20:00:00,Turkcell Süper Lig (Profesyonel Takım),18431,MUSTAFA KAMİL ABİTOĞLU,18917,SERDAR AKÇER,18565,ÖZGÜR KAYA,19585,ABDULLAH YILMAZ,44,BURSA ATATÜRK,3601,BURSASPOR,3595,MKE ANKARAGÜCÜ,0,0"
"4,2006-08-05 21:30:00,Turkcell Süper Lig (Profesyonel Takım),18740,BÜLENT DEMİRLEK,18457,ADİL SİNEM,19344,MUSTAFA EMRE EYİSOY,19363,CEM DEDA,86,FB ŞÜKRÜ SARACOĞLU,3592,FENERBAHÇE,71,KAYSERİ ERCİYESSPOR,6,0"
"9,2006-08-06 20:00:00,Turkcell Süper Lig (Profesyonel Takım),17652,İSMET ARZUMAN,20144,MUSTAFA SÖNMEZ,19948,ASIM YUSUF ÖZ,18353,AYTEKİN DURMAZ,24,ANTALYA ATATÜRK,52,ANTALYASPOR A.Ş.,3631,ÇAYKUR RİZESPOR,0,0"
"11,2006-08-04 17:00:00,Paf Ligi (PAF Takımı),20554,YAŞAR KEMAL UĞURLU,20608,ARMAN SERDAROĞLU,20656,MÜCAHİT ER,[],,17,ANKARA AKTEPE,4355,ANKARASPOR A.Ş.,3604,GALATASARAY A.Ş.,1,2"
"2,2006-08-04 21:00:00,Turkcell Süper Lig (Profesyonel Takım),18626,CÜNEYT ÇAKIR,18486,BAKİ TUNCAY AKKIN,18638,ALPASLAN DEDEŞ,19089,TOLGA ÖZKALFA,11,ANKARA 19 MAYIS,4355,ANKARASPOR A.Ş.,3604,GALATASARAY A.Ş.,1,1"
"3,2006-08-05 19:00:00,Turkcell Süper Lig (Profesyonel Takım),18382,CEM PAPİLA,20183,MEHMET CEM SATMAN,19399,ALEKS TAŞCIOĞLU,18543,VEDAT YÜKSEL,121,KAYSERİ ATATÜRK,72,KAYSERİSPOR,3596,TRABZONSPOR A.Ş.,1,0"
"8,2006-08-06 20:00:00,Turkcell Süper Lig (Profesyonel Takım),18596,SÜLEYMAN ABAY,20439,ERDEM BAYIK,19894,MUZAFFER KAŞIKCI,19477,MEHMET FATİH GÖKÇE,169,SİVAS 4 EYLÜL,74,SİVASSPOR,3606,GENÇLERBİRLİĞİ,1,2"
"12,2006-08-05 16:00:00,Paf Ligi (PAF Takımı),20640,İLYAS EMEKTAR,20930,EROL EROĞLU,20931,SUHA ADIYAMAN,[],,122,KAYSERİ DIŞ SAHA,72,KAYSERİSPOR,3596,TRABZONSPOR A.Ş.,0,3"
"13,2006-08-05 17:00:00,Paf Ligi (PAF Takımı),20586,CÜNEYT TANER,20929,ALİ GÜNER,20670,MUSTAFA VARSIN,[],,109,DEREAĞZI TESİSLERİ,3592,FENERBAHÇE,71,KAYSERİ ERCİYESSPOR,3,1"
"14,2006-08-06 17:00:00,Paf Ligi (PAF Takımı),20459,ÖMER TEVFİK ÖZKOÇ,20457,ELVAN ÇELİK,20716,MESUT ŞİRAZ,[],,72,KAMP EĞİTİM,116,GAZİANTEPSPOR,81,DENİZLİSPOR,0,1"
"15,2006-08-06 17:00:00,Paf Ligi (PAF Takımı),19553,CUMHUR ALTAY,18549,TOLGA KADAZ,20658,MUSTAFA HELVACIOĞLU,[],,141,8 EYLÜL SUNİ ÇİM,110,VESTEL MANİSASPOR,3590,BEŞİKTAŞ A.Ş.,1,1"
"16,2006-08-06 17:00:00,Paf Ligi (PAF Takımı),19973,MEHMET AYBERK ALTUNAY,19784,BARIŞ BAYDEMİR,20811,CENGİZ GÜLER,[],,47,BURSA MERİNOS,3601,BURSASPOR,3595,MKE ANKARAGÜCÜ,0,1"
"17,2006-08-06 17:00:00,Paf Ligi (PAF Takımı),20402,BARIŞ YÜKSEKTEPE,20628,ASIM TANRIVERDİ,20939,F.BUĞRA BAYGUŞ,[],,171,4 EYLÜL DIŞ SAHA,74,SİVASSPOR,3606,GENÇLERBİRLİĞİ,0,6"
"18,2006-08-06 17:00:00,Paf Ligi (PAF Takımı),20359,KADİR TANIYAN,18562,MEHMET GÖK,20833,TAHSİN DÖNMEZ,[],,28,UĞUR SORGUÇ,52,ANTALYASPOR A.Ş.,3631,ÇAYKUR RİZESPOR,2,0"
"19,2006-08-06 17:00:00,Paf Ligi (PAF Takımı),20719,ADEM TÜRKMEN,20626,MUSTAFA EMİL,20932,KAMİL KARAKURT,[],,134,ATATÜRK 2 NOLU SAHA,3600,KONYASPOR,3594,SAKARYASPOR A.Ş.,0,4"
"20,2006-07-30 19:30:00,Süper Kupa (Profesyonel Takım),18740,BÜLENT DEMİRLEK,19193,ERHAN SÖNMEZ,18821,CEMAL GEMİCİ,17907,ÇETİN SARIGÜL,3795,COMMERZBANK ARENA,3604,GALATASARAY A.Ş.,3590,BEŞİKTAŞ A.Ş.,0,1"
"21,2006-08-11 20:00:00,Turkcell Süper Lig (Profesyonel Takım),18433,KUDDUSİ MÜFTÜOĞLU,18821,CEMAL GEMİCİ,18531,İSMAİL KÖSE,19879,BARIŞ ŞİMŞEK,85,BEŞİKTAŞ İNÖNÜ,3590,BEŞİKTAŞ A.Ş.,116,GAZİANTEPSPOR,2,1"
"22,2006-08-12 20:00:00,Turkcell Süper Lig (Profesyonel Takım),18287,YUNUS YILDIRIM,19193,ERHAN SÖNMEZ,19426,NİHAT MIZRAK,19146,HALİS ÖZKAHYA,11,ANKARA 19 MAYIS,3606,GENÇLERBİRLİĞİ,3592,FENERBAHÇE,0,2"
"25,2006-08-13 20:00:00,Turkcell Süper Lig (Profesyonel Takım),19477,MEHMET FATİH GÖKÇE,18607,MURAT ŞAHİN,20274,TARIK ONGUN,19493,HÜSEYİN GÖÇEK,121,KAYSERİ ATATÜRK,71,KAYSERİ ERCİYESSPOR,3601,BURSASPOR,2,1"
"23,2006-08-13 19:00:00,Turkcell Süper Lig (Profesyonel Takım),19363,CEM DEDA,19344,MUSTAFA EMRE EYİSOY,20000,MEHMET CEM HANOĞLU,17907,ÇETİN SARIGÜL,175,HÜSEYİN AVNİ AKER,3596,TRABZONSPOR A.Ş.,110,VESTEL MANİSASPOR,1,1"
"24,2006-08-13 20:00:00,Turkcell Süper Lig (Profesyonel Takım),19047,MUSTAFA İLKER COŞKUN,19811,SÜLEYMAN ÖZAY,18695,MUHARREM YILMAZ,17913,HAKAN ÖZKAN,155,RİZE ATATÜRK,3631,ÇAYKUR RİZESPOR,74,SİVASSPOR,1,1"
"26,2006-08-13 21:30:00,Turkcell Süper Lig (Profesyonel Takım),17616,SELÇUK DERELİ,18457,ADİL SİNEM,20094,MEHMET KISAL,18699,BÜLENT YILDIRIM,87,ALİ SAMİ YEN,3604,GALATASARAY A.Ş.,72,KAYSERİSPOR,4,0"
"29,2006-08-13 20:00:00,Turkcell Süper Lig (Profesyonel Takım),19048,ÖZGÜÇ TÜRKALP,18585,İSMAİL ŞENCAN,18698,NEŞET MERDİN,18765,M.CEMİL ŞENSÖZ,159,SAKARYA ATATÜRK,3594,SAKARYASPOR A.Ş.,52,ANTALYASPOR A.Ş.,0,0"
"30,2006-08-12 17:00:00,Lig B Kademe (Profesyonel Takım),17960,METİN KIR,20134,MUHAMMED TÜRKAY ŞENER,20365,VOLKAN ŞEKER,20133,ANIL DEMİREĞEN,12,ANKARA OSTİM,5,ETİMESGUT ŞEKERSPOR A.Ş.,3611,F.KARAGÜMRÜK,2,1"
"27,2006-08-13 20:00:00,Turkcell Süper Lig (Profesyonel Takım),19585,ABDULLAH YILMAZ,1924301,MUHİTTİN GÜRSES,18850,GÖKHAN MEMİŞOĞLU,18962,UĞUR SÖYLEMEZ,24,ANTALYA ATATÜRK,81,DENİZLİSPOR,3600,KONYASPOR,0,1"
"28,2006-08-13 20:00:00,Turkcell Süper Lig (Profesyonel Takım),18620,FIRAT AYDINUS,19725,ORKUN AKTAŞ,19402,KEMAL YILMAZ,18099,ZAFER ÖNDER İPEK,11,ANKARA 19 MAYIS,3595,MKE ANKARAGÜCÜ,4355,ANKARASPOR A.Ş.,1,1"
"31,2006-08-12 17:00:00,Lig B Kademe (Profesyonel Takım),19173,SİNAN CEM İPEK,20436,YUSUF BOZDOĞAN,20875,CİHAN ATAŞ,19453,HARUN YÜCEDAĞ,24,ANTALYA ATATÜRK,58,FETHİYESPOR,107,İZMİRSPOR,0,1"
"33,2006-08-13 17:00:00,Lig B Kademe (Profesyonel Takım),19179,HAKAN GÜLTEPE,20135,MEHMET ŞENGÜL,18779,NECAT TAŞ,19643,ONUR KAMBİRİMER,47,BURSA MERİNOS,3922,OYAK RENAULTSPOR,131,İNEGÖLSPOR,1,4"
"35,2006-08-13 17:00:00,Lig B Kademe (Profesyonel Takım),18389,ÜMİT ÜNAL,19637,ÜMİT RAMAZAN KONANÇ,20421,SERCAN BAYTAR,19715,MEHMET SİNAN AKGÜL,52,18 MART,137,DARDANELSPOR A.Ş.,3602,SARIYER,1,1"
"36,2006-08-13 17:00:00,Lig B Kademe (Profesyonel Takım),18828,DERYA AHMET KOCABAŞ,19977,HÜSEYİN MİRAN,20596,KEREM ERSOY,19394,MURAT ÖZCAN,26,ALANYA MİLLİ EGEMENLİK,51,ALANYASPOR,59,MARMARİS BLD.GENÇLİKSPOR,3,1"
"34,2006-08-13 17:00:00,Lig B Kademe (Profesyonel Takım),19003,ESER BİRİNCİ,20223,MURAT ŞENER,20669,HİLMİ ALPER ŞENKAL,20321,BARIŞ BAKIRCIOĞLU,201,YALOVA ATATÜRK,3589,YALOVASPOR,3618,GÜNGÖREN BELEDİYESPOR,1,2"
"37,2006-08-13 17:00:00,Lig B Kademe (Profesyonel Takım),18870,SACİT KEŞKEK,18874,HÜSEYİN YOLGİDEN,20480,MUSTAFA ALDEMİR,20039,ÖZGÜR AYGÜN,82,TARSUS BURHANETTİN KOCAMAZ,129,TARSUS İDMAN YURDU,91,NAZİLLİ BELEDİYESPOR,3,0"
"38,2006-08-13 17:00:00,Lig B Kademe (Profesyonel Takım),20155,ERDEM İREN,19910,HAKAN YEMİŞKEN,19908,SÜLEYMAN YAVAŞOĞLU,20298,MURAT GEDİK,149,MUĞLA ATATÜRK,82,MUĞLASPOR,114,TURGUTLUSPOR,3,3"
"40,2006-08-13 20:00:00,Lig B Kademe (Profesyonel Takım),20246,ALİ TERZİOĞLU,20113,ARDA ÖZYILDIRIM,20187,BORA ALADAĞ,20517,ABDURRAHMAN LALE,202,DR.NECMETTİN ŞEYHOĞLU,4,KARDEMİR D.Ç. KARABÜKSPOR,3623,PENDİKSPOR,1,2"
"41,2006-08-13 17:00:00,Lig B Kademe (Profesyonel Takım),20014,İLKAY AYDIN,18525,CİHAN BAL,20522,MURAT GÖZE,20206,AHMET ZENGİN,42,BOLU ATATÜRK,3593,BOLUSPOR,3616,GEBZESPOR,2,1"
"39,2006-08-13 17:00:00,Lig B Kademe (Profesyonel Takım),18973,FERİDUN AKTUĞ ÇIKRIKÇI,20167,SEYFETTİN ŞAHİN,20168,SÜLEYMAN ERDEN ŞİRECİ,18774,MEHMET HİMYERİ,112,BUCA İLÇE,109,BUCASPOR,118,MERSİN İDMAN YURDU,5,1"
"42,2006-08-13 17:00:00,Lig B Kademe (Profesyonel Takım),19983,ÇAĞLAR AKBUDAK,1621656,ESER KURUOĞLU,18313,ZÜLKÜF MEMİŞ,20388,ZEKİ KIRDUDU,92,ZEYTİNBURNU,3607,ZEYTİNBURNUSPOR,379,ÇANKIRI BLD.SPOR,0,1"
"43,2006-08-13 17:00:00,Lig B Kademe (Profesyonel Takım),18863,ÇETİN TOPUZ,20640,İLYAS EMEKTAR,20673,SERHAT TEKGÖZ,20374,FAHRİ AKSOY,127,DARICA İLÇE,3615,DARICA G.BİRLİĞİ,3621,MALTEPESPOR,1,2"
"44,2006-08-13 17:00:00,Lig B Kademe (Profesyonel Takım),19759,SERDAR KARAKAŞ,20188,ENGİN AKAR,19784,BARIŞ BAYDEMİR,20490,ONUR ÖZÜTOPRAK,89,KARTAL İLÇE,3612,KARTALSPOR,6,KEÇİÖRENGÜCÜ,1,0"
"45,2006-08-13 17:00:00,Lig B Kademe (Profesyonel Takım),18989,ALİ ŞAHİN,18624,CAN FILAT,20913,BARIŞ ÇARDAKLI,20574,BURÇİN KESKİN,125,KIRŞEHİR AHİ,4508,Y.KIRŞEHİRSPOR,77,TOKATSPOR,2,0"
"46,2006-08-13 17:00:00,Lig B Kademe (Profesyonel Takım),19347,TAYFUR ÖZKAN,20238,SELMAN US,20671,OKTAY BİÇER,20345,İLKER GÜNEŞ,64,ERZİNCAN 13 ŞUBAT,16,ERZİNCANSPOR,3629,GİRESUNSPOR,1,1"
"48,2006-08-13 17:00:00,Lig B Kademe (Profesyonel Takım),19472,SEDAT ESER,18746,SERKAN KARACA,20883,GÜRSEL YELKENCİ,19156,ADNAN GÜNGÖRDÜ,154,ÜNYE İLÇE,3637,ÜNYESPOR,15,MKE KIRIKKALESPOR,1,2"
"47,2006-08-13 17:00:00,Lig B Kademe (Profesyonel Takım),19853,ADEM SARITAŞ,19855,İLHAN SARIÇAM,20372,ABDULKADİR BİTİGEN,19856,EGEMEN EREN,156,PAZAR İLÇE,3662,PAZARSPOR,1842,ARSİNSPOR,1,0"
"49,2006-08-13 17:00:00,Lig B Kademe (Profesyonel Takım),17890,HAMZA MISIR,20501,ALİ YETİM,20497,FATİH DOKSANOĞLU,19873,ALİ ŞÜKRÜ BELDÜZ,65,CEMAL GÜRSEL,17,ERZURUMSPOR,79,YİMPAŞ YOZGATSPOR A.Ş.,0,1"
"50,2006-08-13 17:00:00,Lig B Kademe (Profesyonel Takım),18999,ABDULLAH KALAFATOĞLU,20781,OSMAN TÜFEKÇİ,20514,GAFUR HACIOĞLU,19622,İBRAHİM TELCİ,197,CİZRE İLÇE,36,CİZRESPOR,66,SİİRTSPOR,2,1"
"51,2006-08-13 19:30:00,Lig B Kademe (Profesyonel Takım),20204,VOLKAN BAYARSLAN,20581,SEMİH DURAN,20855,SOYKAN ÇEKVER,19959,EMRE KOSİF,1,5 OCAK,3603,ADANA DEMİRSPOR,4511,Ş.URFA BLD.SPOR,1,1"
